segment_id,value,created_at
1,15.93,2026-03-05 01:40:51
2,19.96,2026-03-05 01:40:51
3,12.16,2026-03-05 01:40:51
4,17.32,2026-03-05 01:40:51
5,6.66,2026-03-05 01:40:51
6,12.11,2026-03-05 01:40:51
7,10.54,2026-03-05 01:40:51
8,0.35,2026-03-05 01:40:51
9,15.33,2026-03-05 01:40:51
10,7.94,2026-03-05 01:40:51
11,3.72,2026-03-05 01:40:51
12,4.2,2026-03-05 01:40:51
13,10.44,2026-03-05 01:40:51
14,12.41,2026-03-05 01:40:51
15,17.76,2026-03-05 01:40:51
16,18.68,2026-03-05 01:40:51
17,9.81,2026-03-05 01:40:51
18,16.85,2026-03-05 01:40:51
19,10.11,2026-03-05 01:40:51
20,19.94,2026-03-05 01:40:51
21,13.16,2026-03-05 01:40:51
22,9.18,2026-03-05 01:40:51
23,19.17,2026-03-05 01:40:51
24,10.59,2026-03-05 01:40:51
25,1.46,2026-03-05 01:40:51
26,6.49,2026-03-05 01:40:51
27,11.46,2026-03-05 01:40:51
28,16.35,2026-03-05 01:40:51
29,1.53,2026-03-05 01:40:51
30,11.76,2026-03-05 01:40:51
31,4.29,2026-03-05 01:40:51
32,4.01,2026-03-05 01:40:51
33,15.17,2026-03-05 01:40:51
34,18.73,2026-03-05 01:40:51
35,10.89,2026-03-05 01:40:51
36,1.5,2026-03-05 01:40:51
37,19.46,2026-03-05 01:40:51
38,2.76,2026-03-05 01:40:51
39,5.37,2026-03-05 01:40:51
40,6.52,2026-03-05 01:40:51
1,17.11,2026-03-05 02:10:51
2,9.2,2026-03-05 02:10:51
3,14.73,2026-03-05 02:10:51
4,16.34,2026-03-05 02:10:51
5,7.33,2026-03-05 02:10:51
6,6.15,2026-03-05 02:10:51
7,14.98,2026-03-05 02:10:51
8,10.75,2026-03-05 02:10:51
9,7.55,2026-03-05 02:10:51
10,3.79,2026-03-05 02:10:51
11,7.75,2026-03-05 02:10:51
12,18.86,2026-03-05 02:10:51
13,19.78,2026-03-05 02:10:51
14,13.02,2026-03-05 02:10:51
15,13.57,2026-03-05 02:10:51
16,17.22,2026-03-05 02:10:51
17,2.03,2026-03-05 02:10:51
18,13.25,2026-03-05 02:10:51
19,1.93,2026-03-05 02:10:51
20,16.22,2026-03-05 02:10:51
21,15.5,2026-03-05 02:10:51
22,1.84,2026-03-05 02:10:51
23,10.88,2026-03-05 02:10:51
24,12.76,2026-03-05 02:10:51
25,8.55,2026-03-05 02:10:51
26,19.91,2026-03-05 02:10:51
27,17.58,2026-03-05 02:10:51
28,17.04,2026-03-05 02:10:51
29,0.6,2026-03-05 02:10:51
30,8.94,2026-03-05 02:10:51
31,10.95,2026-03-05 02:10:51
32,5.53,2026-03-05 02:10:51
33,15.9,2026-03-05 02:10:51
34,4.22,2026-03-05 02:10:51
35,0.91,2026-03-05 02:10:51
36,1.96,2026-03-05 02:10:51
37,9.4,2026-03-05 02:10:51
38,15.41,2026-03-05 02:10:51
39,10.97,2026-03-05 02:10:51
40,6.42,2026-03-05 02:10:51
