Model,Horizon_min,MAE,RMSE,MAPE
Naive,30,23.82380708055411,30.77163757114085,93.95497598660741
Moving Average (1h),30,22.355871600820926,28.148307620043415,92.61015459013896
Linear Regression,30,20.648387929145013,26.197996900768366,87.11573146558258
Random Forest,30,20.16463639253285,26.380391629235863,83.64208843236686
LSTM,30,18.080631498565047,22.198880013315808,81.14967580266912
Naive,60,27.29090909090909,34.16802344882692,109.25574143066771
Moving Average (1h),60,23.751589183680036,29.722743814225776,99.11609174453162
Linear Regression,60,23.9433327445951,29.69869496315502,100.69444808380774
Random Forest,60,24.48655041306264,30.977167779854472,100.76904312512566
LSTM,60,20.02572374492043,24.757593470056207,87.92434486584652
